?јдр,«нчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,јдр,«нчн
454,0000,454,0000,000,0000,000,0000,0000,004,0100
454,0000,455,0000,454,0000,000,0454,0000,004,0100
455,0000,456,0000,455,0000,000,0455,0000,004,0100
456,0000,457,0000,456,0000,000,0456,0000,004,0100
457,0000,458,0000,457,0000,000,0457,0000,004,0100
458,0000,459,0000,458,0000,000,0458,0000,004,0100
459,0000,45A,0000,459,0000,000,0459,0000,004,0100
45A,0000,45B,0000,45A,0000,000,045A,0000,004,0100
45B,0000,45C,0000,45B,0000,000,045B,0000,004,0100
45C,0000,45D,0000,45C,0000,000,045C,0000,004,0100
45D,0000,45E,0000,45D,0000,000,045D,0000,004,0100
45E,0000,45F,0000,45E,0000,000,045E,0000,004,0100
45F,0000,460,0000,45F,0000,000,045F,0000,004,0100
460,0000,461,0000,460,0000,000,0460,0000,004,0100
461,0000,462,0000,461,0000,000,0461,0000,004,0100
462,0000,463,0000,462,0000,000,0462,0000,004,0100
463,0000,464,0000,463,0000,000,0463,0000,004,0100
464,0000,465,0000,464,0000,000,0464,0000,004,0100
465,0000,466,0000,465,0000,000,0465,0000,004,0100
466,0000,467,0000,466,0000,000,0466,0000,004,0100
467,0000,468,0000,467,0000,000,0467,0000,004,0100
468,0000,469,0000,468,0000,000,0468,0000,004,0100
469,0000,46A,0000,469,0000,000,0469,0000,004,0100
46A,0000,46B,0000,46A,0000,000,046A,0000,004,0100
46B,0000,46C,0000,46B,0000,000,046B,0000,004,0100
46C,0000,46D,0000,46C,0000,000,046C,0000,004,0100
46D,0000,46E,0000,46D,0000,000,046D,0000,004,0100
46E,0000,46F,0000,46E,0000,000,046E,0000,004,0100
46F,0000,470,0000,46F,0000,000,046F,0000,004,0100
470,0000,471,0000,470,0000,000,0470,0000,004,0100
471,0000,472,0000,471,0000,000,0471,0000,004,0100
472,0000,473,0000,472,0000,000,0472,0000,004,0100
473,0000,474,0000,473,0000,000,0473,0000,004,0100
474,0000,475,0000,474,0000,000,0474,0000,004,0100
475,0000,476,0000,475,0000,000,0475,0000,004,0100
476,0000,477,0000,476,0000,000,0476,0000,004,0100
477,0000,478,0000,477,0000,000,0477,0000,004,0100
478,0000,479,0000,478,0000,000,0478,0000,004,0100
479,0000,47A,0000,479,0000,000,0479,0000,004,0100
47A,0000,47B,0000,47A,0000,000,047A,0000,004,0100
47B,0000,47C,0000,47B,0000,000,047B,0000,004,0100
47C,0000,47D,0000,47C,0000,000,047C,0000,004,0100
47D,0000,47E,0000,47D,0000,000,047D,0000,004,0100
47E,0000,47F,0000,47E,0000,000,047E,0000,004,0100
47F,0000,480,0000,47F,0000,000,047F,0000,004,0100
480,0000,481,0000,480,0000,000,0480,0000,004,0100
481,0000,482,0000,481,0000,000,0481,0000,004,0100
482,0000,483,0000,482,0000,000,0482,0000,004,0100
483,0000,484,0000,483,0000,000,0483,0000,004,0100
484,0000,485,0000,484,0000,000,0484,0000,004,0100
485,0000,486,0000,485,0000,000,0485,0000,004,0100
486,0000,487,0000,486,0000,000,0486,0000,004,0100
487,0000,488,0000,487,0000,000,0487,0000,004,0100
488,0000,489,0000,488,0000,000,0488,0000,004,0100
489,0000,48A,0000,489,0000,000,0489,0000,004,0100
48A,0000,48B,0000,48A,0000,000,048A,0000,004,0100
48B,0000,48C,0000,48B,0000,000,048B,0000,004,0100
48C,0000,48D,0000,48C,0000,000,048C,0000,004,0100
48D,0000,48E,0000,48D,0000,000,048D,0000,004,0100
48E,0000,48F,0000,48E,0000,000,048E,0000,004,0100
48F,0000,490,0000,48F,0000,000,048F,0000,004,0100
490,0000,491,0000,490,0000,000,0490,0000,004,0100
491,0000,492,0000,491,0000,000,0491,0000,004,0100
492,0000,493,0000,492,0000,000,0492,0000,004,0100
493,0000,494,0000,493,0000,000,0493,0000,004,0100
494,0000,495,0000,494,0000,000,0494,0000,004,0100
495,0000,496,0000,495,0000,000,0495,0000,004,0100
496,0000,497,0000,496,0000,000,0496,0000,004,0100
497,0000,498,0000,497,0000,000,0497,0000,004,0100
498,0000,499,0000,498,0000,000,0498,0000,004,0100
499,0000,49A,0000,499,0000,000,0499,0000,004,0100
49A,0000,49B,0000,49A,0000,000,049A,0000,004,0100
49B,0000,49C,0000,49B,0000,000,049B,0000,004,0100
49C,0000,49D,0000,49C,0000,000,049C,0000,004,0100
49D,0000,49E,0000,49D,0000,000,049D,0000,004,0100
49E,0000,49F,0000,49E,0000,000,049E,0000,004,0100
49F,0000,4A0,0000,49F,0000,000,049F,0000,004,0100
4A0,0000,4A1,0000,4A0,0000,000,04A0,0000,004,0100
4A1,0000,4A2,0000,4A1,0000,000,04A1,0000,004,0100
4A2,0000,4A3,0000,4A2,0000,000,04A2,0000,004,0100
4A3,0000,4A4,0000,4A3,0000,000,04A3,0000,004,0100
4A4,0000,4A5,0000,4A4,0000,000,04A4,0000,004,0100
4A5,0000,4A6,0000,4A5,0000,000,04A5,0000,004,0100
4A6,0000,4A7,0000,4A6,0000,000,04A6,0000,004,0100
4A7,0000,4A8,0000,4A7,0000,000,04A7,0000,004,0100
4A8,0000,4A9,0000,4A8,0000,000,04A8,0000,004,0100
4A9,0000,4AA,0000,4A9,0000,000,04A9,0000,004,0100
